FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48ee,Kara,Kozah,Kozah 1,Commune De Kara,Kara sud,JEP Kara Sud Ga,JEP KARA SUD 91624742,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1962357695912575 9.536848017804385)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48ed,Kara,Kozah,Kozah 1,Commune De Kara,Kolide,EPP Lama Kolide,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1972380493512822 9.585433248633908)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48ec,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,JEP Tomde Gb,JEP TOMDE GROUPE B 90551797,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1997493247860338 9.552119151820992)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48eb,Kara,Kozah,Kozah 1,Commune De Kara,Dongoyo,CPL St Patrick International Bilingual School Primaire,BP 442,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1860673867195486 9.54731707416051)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48ea,Kara,Kozah,Kozah 1,Commune De Kara,Dogoyo,CPL St Patrick International Bilingual School JE,BP 442,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.186101764444788 9.547426829136308)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e9,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,EPP Tomde Marché Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.207463307753483 9.564153380890044)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e8,Kara,Kozah,Kozah 1,Commune De Kara,Ewaou,EPP Ewaou Ga,BP 653,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.191553272678085 9.54505018518378)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e7,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,EPL CS Espoir,BP 560,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2038328183145781 9.557212578541039)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e6,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,JEP Tomde Ga,JARDIN TOMDE GROUPE A 91748523,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1996182094570522 9.552042878266429)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e5,Kara,Kozah,Kozah 1,Commune De Kara,Ewaou,CPL CS Les Leaders,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Kara,Non,MEPSTA,POINT (1.1936973430010356 9.543901970421913)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e4,Savanes,Tône,Tône 1,Pana,Panabagou,JEP Panabagou,BP180,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Tône-Est,Non,MEPSTA,POINT (0.2555267071079492 10.781569469190114)
