indicator_id,country_id,year,type,metadata
#indicator+code,#country+code,#date+year,#description+type,#description
CR.1,TGO,2008,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2009,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2010,Source:Data sources,Togo MICS 2010. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1,TGO,2011,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2012,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2013,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2014,Source:Data sources,Togo DHS 2013-14. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1,TGO,2015,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2016,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2017,Source:Data sources,Togo MICS 2017. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1,TGO,2018,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2019,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2020,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2021,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2022,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1990,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1991,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1992,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1993,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1994,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1995,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1996,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1997,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1998,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,1999,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2000,Source:Data sources,Togo MICS 2000 (GEMR).
CR.1.F,TGO,2001,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2002,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2003,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2004,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2005,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2006,Source:Data sources,Togo MICS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
CR.1.F,TGO,2007,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2008,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2009,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2010,Source:Data sources,Togo MICS 2010. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F,TGO,2011,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2012,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
