"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2018","55"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2019","80.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2020","68.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2021","78.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Total","%","2022","66"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2014","59.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2015","60.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2016","68.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2017","67.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2018","56.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2019","82.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2020","70.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2021","79.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Masculin","%","2022","67.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2014","47.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2015","56.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2016","63.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2017","61.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2018","50.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2019","75.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2020","65"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2021","76.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Centrale","Féminin","%","2022","61.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2014","57.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2015","72"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2016","72.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2017","74.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2018","47.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2019","79.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2020","73.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2021","79"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Total","%","2022","70.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2014","59.2"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2015","73.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2016","74.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2017","76.8"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2018","50.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2019","79.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2020","76.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2021","78.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Masculin","%","2022","71.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2014","53.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2015","66.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2016","67.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2017","67.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2018","39.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2019","76.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2020","65.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2021","80.2"
