No.,Nom du champ,Question,Description,Type du champ
132,eleve_plusonze,Nombre total d'élèves de plus de 11 ans,xsd:int,int
133,eleve_six,Nombre total d'élèves de 6 ans,xsd:int,int
134,eleve_sept,Nombre total d'élèves de 7 ans,xsd:int,int
135,eleve_huit,Nombre total d'élèves de 8 ans,xsd:int,int
136,eleve_neuf,Nombre total d'élèves de 9 ans,xsd:int,int
137,eleve_dix,Nombre total d'élèves de 10 ans,xsd:int,int
138,eleve_onze,Nombre total d'élèves de 11 ans,xsd:int,int
139,eleve_tranchecollege,Nombre total d'élèves de 12 à 15 ans,xsd:int,int
140,eleve_moinsdouze,Nombre total d'élèves de moins de 12 ans,xsd:int,int
141,eleve_plusquinze,Nombre total d'élèves de plus de 15 ans,xsd:int,int
142,eleve_douze,Nombre total d'élèves de 12 ans,xsd:int,int
143,eleve_treize,Nombre total d'élèves de 13 ans,xsd:int,int
144,eleve_quatorze,Nombre total d'élèves de 14 ans,xsd:int,int
145,eleve_quinze,Nombre total d'élèves de 15 ans,xsd:int,int
146,eleve_tranchelycee,Nombre total d'élèves de 16 à 18 ans,xsd:int,int
147,eleve_moinsseize,Nombre total d'élèves de moins de 16 ans,xsd:int,int
148,eleve_plusdixhuit,Nombre total d'élèves de plus de 18 ans,xsd:int,int
149,eleve_seize,Nombre total d'élèves de 16 ans,xsd:int,int
150,eleve_dixsept,Nombre total d'élèves de 17 ans,xsd:int,int
151,eleve_dixhuit,Nombre total d'élèves de 18 ans,xsd:int,int
152,eleves_liste_annee_passee,Liste d'élèves année dernière,xsd:string,string
153,eleves_liste_annee_cours,Liste d'élèves année en cours,xsd:string,string
154,resultats,Résultats examen et passage élèves de l'année dernière,xsd:string,string
155,ordinateur_nbr,Combien d'ordinateurs fixes? Appartenant à l'établissement,xsd:int,int
156,ordinateurs_fonctionnel,Combien d'ordinateurs fixes sont fonctionnels?,xsd:int,int
157,laptop_nbr,Combien d'ordinateurs portables?,xsd:int,int
158,laptop_fonctionnel,Combien d'ordinateurs portables sont fonctionnels?,xsd:int,int
159,tablette_nbr,Combien de tablettes ?,xsd:int,int
160,tablette_fonctionnel,Combien de tablettes sont fonctionnelles?,xsd:string,string
161,defis,Problèmes/Difficultés de l'établissement,xsd:string,string
162,solutions,Potentielles solutions,xsd:string,string
163,ministere_tutelle,Ministère de tutelle,xsd:string,string
164,lavage_mains_nombre,Nombre de dispositifs de lavage de mains,xsd:string,string
165,date_collecte,Date de la collecte,xsd:string,string
166,date_mise_a_jour_collecte,Date de la mise à jour,xsd:string,string
167,geometry,Géométrie,gml:Point,Point
168,dist_poteau_bt,Distance (m) du plus proche poteau électrique basse tension,xsd:string,string
