"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2016","83.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2017","61.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2018","62.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2019","80.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2020","60.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2022","85.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2014","64"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2015","50.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2016","84.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2017","63.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2018","64.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2019","81"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2020","63.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2021","84.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Masculin","%","2022","86.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2014","32"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2015","46.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2016","82.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2017","58.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2018","57.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2019","78.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2020","55"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2021","84.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Féminin","%","2022","84.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2014","70.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2015","47.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2016","74.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2017","61.9"
