FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-283a,Plateaux,Agou,Agou 1,Gadja,Zozokodzi,CEG Zozokodzi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.8497213848502172 6.8187056211229535)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2839,Plateaux,Agou,Agou 1,Gadja,Agoe akodessewa,College Protestant Methodiste John Wesley,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,autre,IESG Kpalimé,Non,MEPSTA,POINT (0.8242865949482381 6.743241624263698)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2838,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,Adzahun-fiagbe,CEG Adzahun-fiagbe,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.7063040266763285 6.804826740994637)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2837,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,Agbave,CEG Agbave,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,autre,IESG Kpalimé,Non,MEPSTA,POINT (0.7593339412232193 6.75149880799323)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2836,Plateaux,Agou,Agou 1,Agou-Tavié,Agou klonou,CEG Agou Klonou,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.6887079936821647 6.835006434301177)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2835,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,Kpangalam,Complexe Scolaire Le Prince College,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Sokodé,Non,MEPSTA,POINT (1.1359019990847403 9.010889202285615)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2834,Plateaux,Agou,Agou 2,Amoussou-Kopé,Amoussoukope,Lycée Amoussoukope College,BP 14,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.8424000578136118 6.66913574650822)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2833,Plateaux,Agou,Agou 2,Amoussou-Kopé,Glekope,CEG Glekope,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.8258020567870987 6.711503144312599)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2832,Plateaux,Agou,Agou 2,Amoussou-Kopé,Amoussoukope,CS Abri De Dieu College,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Kpalimé,Non,MEPSTA,POINT (0.8441385571986934 6.661313386781453)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2831,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),Nyagamago,CEG Adzakpa,BP56 KPALIME,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - Collectivite coutumiere,IESG Kpalimé,Oui,MEPSTA,POINT (0.8106405573448989 6.6361497206841396)
