"indicateur","libellés","sexe","Unit","Date","Value"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","F","Nombre","2013","2817"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","F","Nombre","2014","2807"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","F","Nombre","2015","2750"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","F","Nombre","2016","3550"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","F","Nombre","2017","4062"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","F","Nombre","2018","4913"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","M","Nombre","2013","10272"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","M","Nombre","2014","9657"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","M","Nombre","2015","9193"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","M","Nombre","2016","10860"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","M","Nombre","2017","12317"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","M","Nombre","2018","13337"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","TOTAL","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","TOTAL","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","TOTAL","Nombre","2015","21"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","TOTAL","Nombre","2016","23"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","TOTAL","Nombre","2017","24"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","TOTAL","Nombre","2018","51"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","F","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","F","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","F","Nombre","2015","4"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","F","Nombre","2016","4"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","F","Nombre","2017","3"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","F","Nombre","2018","11"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","M","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","M","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","M","Nombre","2015","17"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","M","Nombre","2016","19"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","M","Nombre","2017","21"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CERSA","M","Nombre","2018","40"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","TOTAL","Nombre","2013","180"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","TOTAL","Nombre","2014","160"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","TOTAL","Nombre","2015","220"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","TOTAL","Nombre","2016","259"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","TOTAL","Nombre","2017","285"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","TOTAL","Nombre","2018","332"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","F","Nombre","2013","15"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","F","Nombre","2014","14"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","F","Nombre","2015","20"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","F","Nombre","2016","29"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","F","Nombre","2017","27"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","F","Nombre","2018","26"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","M","Nombre","2013","165"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","M","Nombre","2014","146"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","M","Nombre","2015","200"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","M","Nombre","2016","230"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","M","Nombre","2017","258"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","CIC","M","Nombre","2018","306"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","TOTAL","Nombre","2013","393"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","TOTAL","Nombre","2014","232"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","TOTAL","Nombre","2015","148"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","TOTAL","Nombre","2016","169"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","TOTAL","Nombre","2017","173"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","TOTAL","Nombre","2018","178"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","F","Nombre","2013","112"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","F","Nombre","2014","47"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","F","Nombre","2015","15"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","F","Nombre","2016","15"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","F","Nombre","2017","12"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","F","Nombre","2018","24"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","M","Nombre","2013","281"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","M","Nombre","2014","185"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","M","Nombre","2015","133"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","M","Nombre","2016","154"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","M","Nombre","2017","161"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","EAM","M","Nombre","2018","154"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","TOTAL","Nombre","2013","382"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","TOTAL","Nombre","2014","387"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","TOTAL","Nombre","2015","422"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","TOTAL","Nombre","2016","653"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","TOTAL","Nombre","2017","728"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","TOTAL","Nombre","2018","790"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","F","Nombre","2013","10"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","F","Nombre","2014","6"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","F","Nombre","2015","8"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","F","Nombre","2016","29"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","F","Nombre","2017","34"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","F","Nombre","2018","39"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","M","Nombre","2013","372"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","M","Nombre","2014","381"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","M","Nombre","2015","414"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","M","Nombre","2016","624"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","M","Nombre","2017","694"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ENSI","M","Nombre","2018","751"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","TOTAL","Nombre","2013","1048"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","TOTAL","Nombre","2014","1163"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","TOTAL","Nombre","2015","1063"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","TOTAL","Nombre","2016","1240"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","TOTAL","Nombre","2017","1212"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","TOTAL","Nombre","2018","1209"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","F","Nombre","2013","117"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","F","Nombre","2014","152"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","F","Nombre","2015","160"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","F","Nombre","2016","197"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","F","Nombre","2017","194"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","F","Nombre","2018","227"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","M","Nombre","2013","931"
