"indicateur","libellés","sexe","Unit","Date","Value"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","TOTAL","Nombre","2016","50117"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","TOTAL","Nombre","2017","51695"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","TOTAL","Nombre","2018","55781"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","F","Nombre","2013","11564"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","F","Nombre","2014","11338"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","F","Nombre","2015","12222"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","F","Nombre","2016","14599"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","F","Nombre","2017","15334"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","F","Nombre","2018","17733"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","M","Nombre","2013","31904"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","M","Nombre","2014","30580"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","M","Nombre","2015","31747"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","M","Nombre","2016","35518"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","M","Nombre","2017","36361"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","M","Nombre","2018","38048"
