"indicateur","subdivision","sexe","Unit","Date","Value"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Masculin","Pourcentage","2017","56.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Masculin","Pourcentage","2018","66.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Masculin","Pourcentage","2019","62.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Fémin","Pourcentage","2014","40.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Fémin","Pourcentage","2015","50.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Fémin","Pourcentage","2016","55.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Fémin","Pourcentage","2017","58.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Fémin","Pourcentage","2018","67.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Lomé-Golfe","Fémin","Pourcentage","2019","66.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Total","Pourcentage","2014","37.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Total","Pourcentage","2015","56.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Total","Pourcentage","2016","57.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Total","Pourcentage","2017","64.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Total","Pourcentage","2018","64.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Total","Pourcentage","2019","64.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Masculin","Pourcentage","2014","38.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Masculin","Pourcentage","2015","56.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Masculin","Pourcentage","2016","55.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Masculin","Pourcentage","2017","64"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Masculin","Pourcentage","2018","64.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Masculin","Pourcentage","2019","61.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Fémin","Pourcentage","2014","33.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Fémin","Pourcentage","2015","56.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Fémin","Pourcentage","2016","60.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Fémin","Pourcentage","2017","66"
