indicator_id,indicator_label_en
41933,"Repeaters in Grade 1 of lower secondary general education, both sexes (number)"
41934,"Repeaters in Grade 2 of lower secondary general education, both sexes (number)"
41935,"Repeaters in Grade 3 of lower secondary general education, both sexes (number)"
41936,"Repeaters in Grade 4 of lower secondary general education, both sexes (number)"
41937,"Repeaters in Grade 5 of lower secondary general education, both sexes (number)"
41938,"Repeaters in Grade 6 of lower secondary general education, both sexes (number)"
41939,"Repeaters in grade unknown of lower secondary general education, both sexes (number)"
41940,"Repeaters in lower secondary general education, all grades, both sexes (number)"
42096,"Teachers in early childhood educational development programmes, male (number)"
42097,"Teachers in pre-primary education, male (number)"
42099,"Teachers in primary education, male (number)"
42100,"Teachers in lower secondary education, male (number)"
42101,"Teachers in upper secondary education, male (number)"
42104,"Teachers in secondary education, male (number)"
42105,"Teachers in post-secondary non-tertiary education, male (number)"
42110,"Teachers in early childhood educational development programmes, female (number)"
42116,"Teachers in early childhood educational development programmes, both sexes (number)"
42614,"Enrolment in tertiary education, ISCED 5 programmes, male (number)"
42615,"Enrolment in tertiary education, ISCED 6 programmes, male (number)"
42617,"Enrolment in tertiary education, ISCED 7 programmes, male (number)"
42619,"Enrolment in tertiary education, ISCED 8 programmes, male (number)"
42620,"Enrolment in tertiary education, all programmes, male (number)"
42635,"Enrolment in tertiary education, ISCED 6 programmes, female (number)"
42637,"Enrolment in tertiary education, ISCED 7 programmes, female (number)"
42654,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)"
42656,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)"
42963,"Inbound internationally mobile students from Africa: Students from Algeria, male (number)"
42964,"Inbound internationally mobile students from Africa: Students from Angola, male (number)"
42965,"Inbound internationally mobile students from Africa: Students from Benin, male (number)"
42966,"Inbound internationally mobile students from Africa: Students from Botswana, male (number)"
42967,"Inbound internationally mobile students from Africa: Students from Burkina Faso, male (number)"
42968,"Inbound internationally mobile students from Africa: Students from Burundi, male (number)"
42969,"Inbound internationally mobile students from Africa: Students from Cape Verde, male (number)"
42970,"Inbound internationally mobile students from Africa: Students from Cameroon, male (number)"
42971,"Inbound internationally mobile students from Africa: Students from the Central African Republic, male (number)"
42972,"Inbound internationally mobile students from Africa: Students from Chad, male (number)"
42973,"Inbound internationally mobile students from Africa: Students from Comoros, male (number)"
42974,"Inbound internationally mobile students from Africa: Students from the Congo, male (number)"
42975,"Inbound internationally mobile students from Africa: Students from C̫te d'Ivoire, male (number)"
42976,"Inbound internationally mobile students from Africa: Students from the Democratic Republic of the Congo, male (number)"
42977,"Inbound internationally mobile students from Africa: Students from Djibouti, male (number)"
42978,"Inbound internationally mobile students from Africa: Students from Egypt, male (number)"
42979,"Inbound internationally mobile students from Africa: Students from Equatorial Guinea, male (number)"
42980,"Inbound internationally mobile students from Africa: Students from Eritrea, male (number)"
42981,"Inbound internationally mobile students from Africa: Students from Ethiopia, male (number)"
42982,"Inbound internationally mobile students from Africa: Students from Gabon, male (number)"
42983,"Inbound internationally mobile students from Africa: Students from the Gambia, male (number)"
42984,"Inbound internationally mobile students from Africa: Students from Ghana, male (number)"
42985,"Inbound internationally mobile students from Africa: Students from Guinea, male (number)"
42986,"Inbound internationally mobile students from Africa: Students from Guinea-Bissau, male (number)"
42987,"Inbound internationally mobile students from Africa: Students from Kenya, male (number)"
42988,"Inbound internationally mobile students from Africa: Students from Lesotho, male (number)"
42989,"Inbound internationally mobile students from Africa: Students from Liberia, male (number)"
42990,"Inbound internationally mobile students from Africa: Students from Libya, male (number)"
42991,"Inbound internationally mobile students from Africa: Students from Madagascar, male (number)"
42992,"Inbound internationally mobile students from Africa: Students from Malawi, male (number)"
42993,"Inbound internationally mobile students from Africa: Students from Mali, male (number)"
42994,"Inbound internationally mobile students from Africa: Students from Mauritania, male (number)"
42995,"Inbound internationally mobile students from Africa: Students from Mauritius, male (number)"
42996,"Inbound internationally mobile students from Africa: Students from Morocco, male (number)"
42997,"Inbound internationally mobile students from Africa: Students from Mozambique, male (number)"
42998,"Inbound internationally mobile students from Africa: Students from Namibia, male (number)"
42999,"Inbound internationally mobile students from Africa: Students from Niger, male (number)"
43000,"Inbound internationally mobile students from Africa: Students from Nigeria, male (number)"
43001,"Inbound internationally mobile students from Africa: Students from Rwanda, male (number)"
43002,"Inbound internationally mobile students from Africa: Students from Sao Tome and Principe, male (number)"
43003,"Inbound internationally mobile students from Africa: Students from Senegal, male (number)"
43004,"Inbound internationally mobile students from Africa: Students from Seychelles, male (number)"
43005,"Inbound internationally mobile students from Africa: Students from Sierra Leone, male (number)"
43006,"Inbound internationally mobile students from Africa: Students from Somalia, male (number)"
43007,"Inbound internationally mobile students from Africa: Students from South Africa, male (number)"
43008,"Inbound internationally mobile students from Africa: Students from South Sudan, male (number)"
