indicator_id,country_id,year,value,magnitude,qualifier
AIR.1.GLAST.GPIA,TGO,2009,.7448099851608276,,
AIR.1.GLAST.GPIA,TGO,2010,.7757928036663981,,
AIR.1.GLAST.GPIA,TGO,2011,.7871817062420495,,
AIR.1.GLAST.GPIA,TGO,2012,.8109801054552023,,
AIR.1.GLAST.GPIA,TGO,2013,.8524374363696638,,
AIR.1.GLAST.GPIA,TGO,2014,.8768711165392581,,
AIR.1.GLAST.GPIA,TGO,2016,.9365281063726455,,
AIR.1.GLAST.GPIA,TGO,2017,.9260696626957923,,
AIR.1.GLAST.GPIA,TGO,2018,.9528600505244782,,
AIR.1.GLAST.GPIA,TGO,2019,.9638159966049132,,
AIR.1.GLAST.GPIA,TGO,2020,.9702784125237154,,
AIR.1.GLAST.GPIA,TGO,2021,.9540211275903516,,
AIR.1.GLAST.GPIA,TGO,2022,.9647643379708536,,
AIR.1.GLAST.GPIA,TGO,2023,.9919687492058754,,
AIR.1.GLAST.GPIA,TGO,2024,.994247901404238,,
AIR.1.GLAST.M,TGO,1971,34.43320846557617,,
AIR.1.GLAST.M,TGO,1972,41.20114135742188,,
AIR.1.GLAST.M,TGO,1976,57.60017013549805,,
AIR.1.GLAST.M,TGO,1978,67.32205200195313,,
AIR.1.GLAST.M,TGO,1979,65.63246154785156,,
AIR.1.GLAST.M,TGO,1980,67.48628997802734,,
AIR.1.GLAST.M,TGO,1981,62.91788864135742,,UIS_EST
AIR.1.GLAST.M,TGO,1982,58.96598815917969,,
AIR.1.GLAST.M,TGO,1983,57.49769973754883,,
AIR.1.GLAST.M,TGO,1984,50.51686096191406,,
AIR.1.GLAST.M,TGO,1985,43.96644973754883,,
AIR.1.GLAST.M,TGO,1986,43.13539123535156,,
AIR.1.GLAST.M,TGO,1987,41.70671081542969,,
AIR.1.GLAST.M,TGO,1988,47.31378173828125,,
AIR.1.GLAST.M,TGO,1989,39.2747802734375,,
AIR.1.GLAST.M,TGO,1990,46.75352096557617,,
AIR.1.GLAST.M,TGO,1991,46.59709930419922,,
AIR.1.GLAST.M,TGO,1992,47.39802169799805,,
AIR.1.GLAST.M,TGO,1994,38.92037963867188,,
AIR.1.GLAST.M,TGO,1995,54.79013824462891,,
AIR.1.GLAST.M,TGO,1996,63.42945098876953,,
AIR.1.GLAST.M,TGO,1999,71.89119720458984,,
AIR.1.GLAST.M,TGO,2000,81.16046905517578,,
AIR.1.GLAST.M,TGO,2001,87.14382171630859,,
AIR.1.GLAST.M,TGO,2003,82.95990753173828,,
AIR.1.GLAST.M,TGO,2004,83.40146636962891,,
AIR.1.GLAST.M,TGO,2005,82.14024353027344,,
AIR.1.GLAST.M,TGO,2006,81.37764739990234,,
AIR.1.GLAST.M,TGO,2008,74.04087066650391,,
AIR.1.GLAST.M,TGO,2009,72.96488189697266,,
AIR.1.GLAST.M,TGO,2010,76.59045166452064,,
AIR.1.GLAST.M,TGO,2011,77.9721255200689,,
AIR.1.GLAST.M,TGO,2012,80.81260384384242,,
AIR.1.GLAST.M,TGO,2013,82.77246982092798,,
AIR.1.GLAST.M,TGO,2014,88.4104632249727,,
AIR.1.GLAST.M,TGO,2016,96.01228682046525,,
AIR.1.GLAST.M,TGO,2017,94.3424511253491,,
AIR.1.GLAST.M,TGO,2018,89.94507231486604,,
AIR.1.GLAST.M,TGO,2019,85.86225539947073,,
AIR.1.GLAST.M,TGO,2020,85.77537451375287,,
AIR.1.GLAST.M,TGO,2021,87.52990563604507,,
AIR.1.GLAST.M,TGO,2022,87.22702889773318,,
AIR.1.GLAST.M,TGO,2023,87.6641522372707,,
AIR.1.GLAST.M,TGO,2024,91.47955263382566,,
AIR.2.GPV.GLAST,TGO,1971,4.322410106658936,,
AIR.2.GPV.GLAST,TGO,1972,5.954520225524902,,
AIR.2.GPV.GLAST,TGO,1973,5.70048999786377,,
AIR.2.GPV.GLAST,TGO,1974,6.754149913787842,,
AIR.2.GPV.GLAST,TGO,1975,8.361980438232422,,
AIR.2.GPV.GLAST,TGO,1976,9.680780410766602,,
AIR.2.GPV.GLAST,TGO,1977,12.80445957183838,,
AIR.2.GPV.GLAST,TGO,1978,15.66434001922607,,
AIR.2.GPV.GLAST,TGO,1979,18.9177303314209,,
AIR.2.GPV.GLAST,TGO,1980,21.86437034606934,,
AIR.2.GPV.GLAST,TGO,1981,21.30847930908203,,
