indicator_id,indicator_label_en,country_id,year,value,magnitude,qualifier
CR.1.Q2.LPIA,"Completion rate, primary education, second quintile, adjusted location parity index (LPIA)",TGO,2006,.9009900093078613,,
CR.1.Q2.M,"Completion rate, primary education, second quintile, male (%)",TGO,2006,43.51079940795898,,
CR.1.Q2.M,"Completion rate, primary education, second quintile, male (%)",TGO,2010,48.80527114868164,,
CR.1.Q2.M,"Completion rate, primary education, second quintile, male (%)",TGO,2014,48.14743041992188,,
CR.1.Q2.M,"Completion rate, primary education, second quintile, male (%)",TGO,2017,82.091552734375,,
CR.1.Q3,"Completion rate, primary education, middle quintile, both sexes (%)",TGO,2000,36.83,,
CR.1.Q3,"Completion rate, primary education, middle quintile, both sexes (%)",TGO,2006,58.74563980102539,,
CR.1.Q3,"Completion rate, primary education, middle quintile, both sexes (%)",TGO,2010,57.37215042114258,,
CR.1.Q3,"Completion rate, primary education, middle quintile, both sexes (%)",TGO,2014,66.55742645263672,,
CR.1.Q3,"Completion rate, primary education, middle quintile, both sexes (%)",TGO,2017,81.50283050537109,,
CR.1.Q3.F,"Completion rate, primary education, middle quintile, female (%)",TGO,2006,55.57294082641602,,
CR.1.Q3.F,"Completion rate, primary education, middle quintile, female (%)",TGO,2010,51.85995101928711,,
CR.1.Q3.F,"Completion rate, primary education, middle quintile, female (%)",TGO,2014,60.37699127197266,,
CR.1.Q3.F,"Completion rate, primary education, middle quintile, female (%)",TGO,2017,79.20378112792969,,
CR.1.Q3.F.LPIA,"Completion rate, primary education, middle quintile, female, adjusted location parity index (LPIA)",TGO,2006,1.176040053367615,,
CR.1.Q3.F.LPIA,"Completion rate, primary education, middle quintile, female, adjusted location parity index (LPIA)",TGO,2010,.6873700022697449,,
CR.1.Q3.F.LPIA,"Completion rate, primary education, middle quintile, female, adjusted location parity index (LPIA)",TGO,2017,1.058030009269714,,
CR.1.Q3.GPIA,"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)",TGO,2006,.9201200008392334,,
CR.1.Q3.GPIA,"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)",TGO,2010,.8413500189781189,,
CR.1.Q3.GPIA,"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)",TGO,2014,.8367699980735779,,
CR.1.Q3.GPIA,"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)",TGO,2017,.9496099948883057,,
CR.1.Q3.LPIA,"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)",TGO,2006,1.137159943580627,,
CR.1.Q3.LPIA,"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)",TGO,2010,.8442000150680542,,
CR.1.Q3.LPIA,"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)",TGO,2014,.9640200138092041,,
CR.1.Q3.LPIA,"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)",TGO,2017,1.029999971389771,,
CR.1.Q3.M,"Completion rate, primary education, middle quintile, male (%)",TGO,2006,60.39754104614258,,
CR.1.Q3.M,"Completion rate, primary education, middle quintile, male (%)",TGO,2010,61.63919067382813,,
CR.1.Q3.M,"Completion rate, primary education, middle quintile, male (%)",TGO,2014,72.15514373779297,,
CR.1.Q3.M,"Completion rate, primary education, middle quintile, male (%)",TGO,2017,83.40679168701172,,
CR.1.Q3.M.LPIA,"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)",TGO,2006,1.108479976654053,,
CR.1.Q3.M.LPIA,"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)",TGO,2010,.9784799814224243,,
CR.1.Q3.M.LPIA,"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)",TGO,2017,1.011039972305298,,
CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)",TGO,2000,46.38,,
CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)",TGO,2006,74.668212890625,,
CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)",TGO,2010,71.38139343261719,,
CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)",TGO,2014,73.65013122558594,,
CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)",TGO,2017,86.85002136230469,,
CR.1.Q4.F,"Completion rate, primary education, fourth quintile, female (%)",TGO,2006,74.11109924316406,,
CR.1.Q4.F,"Completion rate, primary education, fourth quintile, female (%)",TGO,2010,68.78695678710938,,
CR.1.Q4.F,"Completion rate, primary education, fourth quintile, female (%)",TGO,2014,64.90899658203125,,
CR.1.Q4.F,"Completion rate, primary education, fourth quintile, female (%)",TGO,2017,85.83621215820313,,
CR.1.Q4.F.LPIA,"Completion rate, primary education, fourth quintile, female, adjusted location parity index (LPIA)",TGO,2006,.8072500228881836,,
CR.1.Q4.F.LPIA,"Completion rate, primary education, fourth quintile, female, adjusted location parity index (LPIA)",TGO,2010,.8114399909973145,,
CR.1.Q4.F.LPIA,"Completion rate, primary education, fourth quintile, female, adjusted location parity index (LPIA)",TGO,2014,1.02512001991272,,
CR.1.Q4.F.LPIA,"Completion rate, primary education, fourth quintile, female, adjusted location parity index (LPIA)",TGO,2017,1.003960013389587,,
CR.1.Q4.GPIA,"Completion rate, primary education, fourth quintile, adjusted gender parity index (GPIA)",TGO,2006,.987060010433197,,
CR.1.Q4.GPIA,"Completion rate, primary education, fourth quintile, adjusted gender parity index (GPIA)",TGO,2010,.9373099803924561,,
CR.1.Q4.GPIA,"Completion rate, primary education, fourth quintile, adjusted gender parity index (GPIA)",TGO,2014,.8091899752616882,,
CR.1.Q4.GPIA,"Completion rate, primary education, fourth quintile, adjusted gender parity index (GPIA)",TGO,2017,.9771400094032288,,
CR.1.Q4.LPIA,"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)",TGO,2006,.79066002368927,,
CR.1.Q4.LPIA,"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)",TGO,2010,.8662199974060059,,
CR.1.Q4.LPIA,"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)",TGO,2014,1.040949940681458,,
CR.1.Q4.LPIA,"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)",TGO,2017,1.017300009727478,,
CR.1.Q4.M,"Completion rate, primary education, fourth quintile, male (%)",TGO,2006,75.08244323730469,,
CR.1.Q4.M,"Completion rate, primary education, fourth quintile, male (%)",TGO,2010,73.38778686523438,,
CR.1.Q4.M,"Completion rate, primary education, fourth quintile, male (%)",TGO,2014,80.21449279785156,,
CR.1.Q4.M,"Completion rate, primary education, fourth quintile, male (%)",TGO,2017,87.84465026855469,,
CR.1.Q4.M.LPIA,"Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)",TGO,2006,.7771700024604797,,
CR.1.Q4.M.LPIA,"Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)",TGO,2010,.9180399775505066,,
CR.1.Q4.M.LPIA,"Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)",TGO,2014,1.077460050582886,,
CR.1.Q4.M.LPIA,"Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)",TGO,2017,1.023800015449524,,
CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)",TGO,2000,65.83,,
CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)",TGO,2006,82.12497711181641,,
CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)",TGO,2010,81.18750762939453,,
CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)",TGO,2014,83.68318939208984,,
CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)",TGO,2017,87.88287353515625,,
CR.1.Q5.F,"Completion rate, primary education, richest quintile, female (%)",TGO,2006,73.0703125,,
CR.1.Q5.F,"Completion rate, primary education, richest quintile, female (%)",TGO,2010,73.50743103027344,,
CR.1.Q5.F,"Completion rate, primary education, richest quintile, female (%)",TGO,2014,81.16641998291016,,
CR.1.Q5.F,"Completion rate, primary education, richest quintile, female (%)",TGO,2017,82.08168029785156,,
CR.1.Q5.F.LPIA,"Completion rate, primary education, richest quintile, female, adjusted location parity index (LPIA)",TGO,2017,1.055269956588745,,
CR.1.Q5.GPIA,"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)",TGO,2006,.8021399974822998,,
CR.1.Q5.GPIA,"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)",TGO,2010,.7951200008392334,,
CR.1.Q5.GPIA,"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)",TGO,2014,.9282900094985962,,
CR.1.Q5.GPIA,"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)",TGO,2017,.8539000153541565,,
CR.1.Q5.LPIA,"Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)",TGO,2010,1.144000053405762,,
CR.1.Q5.LPIA,"Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)",TGO,2017,1.04558002948761,,
CR.1.Q5.M,"Completion rate, primary education, richest quintile, male (%)",TGO,2006,91.09372711181641,,
CR.1.Q5.M,"Completion rate, primary education, richest quintile, male (%)",TGO,2010,92.44854736328125,,
CR.1.Q5.M,"Completion rate, primary education, richest quintile, male (%)",TGO,2014,87.43634033203125,,
CR.1.Q5.M,"Completion rate, primary education, richest quintile, male (%)",TGO,2017,96.12542724609375,,
CR.1.Q5.M.LPIA,"Completion rate, primary education, richest quintile, male, adjusted location parity index (LPIA)",TGO,2017,1.044829964637756,,
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)",TGO,2000,31.38,,
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)",TGO,2006,48.09798812866211,,
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)",TGO,2010,46.11277008056641,,
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)",TGO,2014,51.87408065795898,,
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)",TGO,2017,75.63488006591797,,
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)",TGO,2022,71.18327331542969,,
CR.1.RUR.F,"Completion rate, primary education, rural, female (%)",TGO,2006,44.43101119995117,,
CR.1.RUR.F,"Completion rate, primary education, rural, female (%)",TGO,2010,39.36109924316406,,
CR.1.RUR.F,"Completion rate, primary education, rural, female (%)",TGO,2014,47.35675048828125,,
CR.1.RUR.F,"Completion rate, primary education, rural, female (%)",TGO,2017,71.39483642578125,,
CR.1.RUR.F,"Completion rate, primary education, rural, female (%)",TGO,2022,66.23941802978516,,
CR.1.RUR.F.WPIA,"Completion rate, primary education, rural, female, adjusted wealth parity index (WPIA)",TGO,2017,.640500009059906,,
CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)",TGO,2006,.8922399878501892,,
CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)",TGO,2010,.7705399990081787,,
CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)",TGO,2014,.8541399836540222,,
CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)",TGO,2017,.903249979019165,,
CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)",TGO,2022,.8733100295066833,,
CR.1.RUR.M,"Completion rate, primary education, rural, male (%)",TGO,2006,49.79737091064453,,
CR.1.RUR.M,"Completion rate, primary education, rural, male (%)",TGO,2010,51.08234024047852,,
CR.1.RUR.M,"Completion rate, primary education, rural, male (%)",TGO,2014,55.44363021850586,,
CR.1.RUR.M,"Completion rate, primary education, rural, male (%)",TGO,2017,79.04247283935547,,
CR.1.RUR.M,"Completion rate, primary education, rural, male (%)",TGO,2022,75.84873962402344,,
CR.1.RUR.M.WPIA,"Completion rate, primary education, rural, male, adjusted wealth parity index (WPIA)",TGO,2017,.6742399930953979,,
CR.1.RUR.Q1,"Completion rate, primary education, rural, poorest quintile, both sexes (%)",TGO,2006,34.25490188598633,,
CR.1.RUR.Q1,"Completion rate, primary education, rural, poorest quintile, both sexes (%)",TGO,2010,29.76584053039551,,
CR.1.RUR.Q1,"Completion rate, primary education, rural, poorest quintile, both sexes (%)",TGO,2014,40.42184829711914,,
CR.1.RUR.Q1,"Completion rate, primary education, rural, poorest quintile, both sexes (%)",TGO,2017,62.36946105957031,,
CR.1.RUR.Q1.F,"Completion rate, primary education, rural, poorest quintile, female (%)",TGO,2006,23.5297794342041,,
CR.1.RUR.Q1.F,"Completion rate, primary education, rural, poorest quintile, female (%)",TGO,2010,24.32711982727051,,
CR.1.RUR.Q1.F,"Completion rate, primary education, rural, poorest quintile, female (%)",TGO,2014,33.9834098815918,,
CR.1.RUR.Q1.F,"Completion rate, primary education, rural, poorest quintile, female (%)",TGO,2017,55.15414810180664,,
CR.1.RUR.Q1.GPIA,"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",TGO,2006,.6059499979019165,,
CR.1.RUR.Q1.GPIA,"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",TGO,2010,.7330899834632874,,
CR.1.RUR.Q1.GPIA,"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",TGO,2014,.7488399744033813,,
CR.1.RUR.Q1.GPIA,"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",TGO,2017,.8180299997329712,,
CR.1.RUR.Q1.M,"Completion rate, primary education, rural, poorest quintile, male (%)",TGO,2006,38.83135986328125,,
